Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,RT_Hand,0,1,0.8852285504345896,1,1,0,27.425694700097665,None,h,1,0.4062139999587089,27.425694700097665,None,27.425694700097665,None,27.425694700097665,None,27.862655200064182,None,27.862655200064182,None,28.17545390012674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,RT_Hand,0,2,0.1652438881072391,1,1,0,28.39540180005133,None,l,1,0.4206675998866558,28.39540180005133,None,28.39540180005133,None,28.39540180005133,None,28.847920200088993,None,28.847920200088993,None,29.16149269999005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,RT_Hand,0,3,0.9395835500332443,1,1,0,29.38305740011856,None,u,1,0.4255981999449432,29.38305740011856,None,29.38305740011856,None,29.38305740011856,None,29.849924000212923,None,29.849924000212923,None,30.15896760020405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,RT_Hand,0,4,0.6601830389530339,1,1,0,30.365324800135568,None,l,1,0.4265184998512268,30.365324800135568,None,30.365324800135568,None,30.365324800135568,None,30.815014300169423,None,30.815014300169423,None,31.125510800164193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,0,0.5215757634796583,1,1,0,,,,,,,,,,,,,,,,34.81149710016325,None,31.32656399998814,None,h,0.858045700006187,31.32656399998814,None,32.229822600027546,None,h,0.585745400050655,32.229822600027546,None,0,0,32.883121100021526,None,32.883121100021526,None,32.883121100021526,None,33.9602498000022,None,u,1,1.5418275999836624,32.883121100021526,None,34.4942082001362,None,34.4942082001362,None,34.4942082001362,None,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,1,0.7823570677394656,1,1,0,,,,,,,,,,,,,,,,39.44220260018483,None,,,,,,,,,,,,,1,0,35.03697770019062,None,35.03697770019062,None,35.03697770019062,None,35.84227570006624,None,l,0,1.29132300009951,35.03697770019062,None,,,,,,,36.3625201000832,None,36.3625201000832,None,h,1.055418899981305,38.360384800005704,None,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,2,1.0290807625794818,1,1,0,,,,,,,,,,,,,,,,41.62564270012081,None,,,,,,,,,,,,,0,0,39.658650500001386,None,39.658650500001386,None,39.658650500001386,None,40.225402700016275,None,h,1,1.605023699812591,39.658650500001386,None,41.322999300202355,None,41.322999300202355,None,41.322999300202355,None,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,TR_Hand,0,3,0.47510778290934175,1,1,0,,,,,,,,,,,,,,,,43.82566160010174,None,,,,,,,,,,,,,0,0,41.849282700102776,None,41.849282700102776,None,41.849282700102776,None,42.976332100108266,None,l,1,1.6303975000046194,41.849282700102776,None,43.52010650001466,None,43.52010650001466,None,43.52010650001466,None,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,4,0.1491190238022828,1,1,0,,,,,,,,,,,,,,,,45.94314740016125,None,,,,,,,,,,,,,0,0,44.048171300208196,None,44.048171300208196,None,44.048171300208196,None,45.492292100097984,None,h,0,1.5443076000083238,44.048171300208196,None,45.63893500017002,None,45.63893500017002,None,45.63893500017002,None,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,0,0.7951797512282803,2,1,0,,,,,,,,,,,,,,,,48.72566600004211,None,,,,,,,46.151712000137195,None,h,0.6240978001151234,46.151712000137195,None,0,0,46.803979200078174,None,46.803979200078174,None,46.803979200078174,None,47.59205470001325,None,h,1,1.5645794998854399,46.803979200078174,None,48.418676500208676,None,48.418676500208676,None,48.418676500208676,None,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,TR_Hand,0,1,0.6285592464981082,2,1,0,,,,,,,,,,,,,,,,50.82559510017745,None,,,,,,,,,,,,,0,0,48.95249940012582,None,48.95249940012582,None,48.95249940012582,None,49.925511500099674,None,l,1,1.5269620998296887,48.95249940012582,None,50.5180401999969,None,50.5180401999969,None,50.5180401999969,None,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,2,0.44720565160559733,2,1,0,,,,,,,,,,,,,,,,53.009066000115126,None,,,,,,,,,,,,,0,0,51.05205440009013,None,51.05205440009013,None,51.05205440009013,None,52.20903110015206,None,h,1,1.6198978999163955,51.05205440009013,None,52.70614860020578,None,52.70614860020578,None,52.70614860020578,None,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,3,1.2842624368877549,2,1,0,,,,,,,,,,,,,,,,55.2091769000981,None,,,,,,,,,,,,,0,0,53.21652660006657,None,53.21652660006657,None,53.21652660006657,None,53.52543370006606,None,u,1,1.6552736000157893,53.21652660006657,None,54.89951380016282,None,54.89951380016282,None,54.89951380016282,None,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,4,1.2264588542674157,2,1,0,,,,,,,,,,,,,,,,57.192429000046104,None,,,,,,,,,,,,,0,0,55.42547890008427,None,55.42547890008427,None,55.42547890008427,None,55.792625200003386,None,i,1,1.4064472999889404,55.42547890008427,None,56.88562610000372,None,56.88562610000372,None,56.88562610000372,None,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0041,Context_Learning_new,2020.1.3,60.135220063370205,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.39254260016605,None,h,1.1518671000376344,57.39254260016605,None,media/dinb.png,,,,,,,
