1,u,"[1, -1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,media/hand.png,media/cross.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
2,i,"[1, -1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,media/hand.png,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
3,l,"[1, -1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,0.1,0.04,media/hand.png,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
0,h,"[-1, 1, -1]",media/djnb.png,media/djnb_r.png,media/djnb_g.png,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
1,u,"[-1, 1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,None,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
2,i,"[-1, 1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,None,None,None,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
3,l,"[-1, 1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,None,None,None,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,2,u,media/dinb.png,1,TR,0,0,2,1,0,1,0.23031961374295773,1,0,0,17.4101432999596,17.4101432999596,17.4101432999596,None,17.4101432999596,None,18.77067180001177,None,i,0,1.5804818000178784,17.4101432999596,None,19.034843399887905,None,19.034843399887905,None,19.034843399887905,None,19.33743659988977,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,1,l,media/dnnb.png,1,TR,0,0,3,1,0,1,0.6662639667028782,1,0,0,19.53820339986123,19.53820339986123,19.53820339986123,None,19.53820339986123,None,20.453906199894845,None,l,1,1.5971001998987049,19.53820339986123,None,21.183926299912855,None,21.183926299912855,None,21.183926299912855,None,21.48735349997878,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,3,i,media/ddnb.png,1,TR,0,0,4,1,0,1,0.681874218958886,1,0,0,21.686924299923703,21.686924299923703,21.686924299923703,None,21.686924299923703,None,22.587806399911642,None,h,0,1.599714000010863,21.686924299923703,None,23.30864889989607,None,23.30864889989607,None,23.30864889989607,None,23.620536899892613,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,1,l,media/dnnb.png,1,TR,0,0,5,1,0,1,0.0040038125072163755,1,0,0,23.82052919990383,23.82052919990383,23.82052919990383,None,23.82052919990383,None,None,None,u,0,1.5382980001159012,23.82052919990383,None,25.391358099877834,None,25.391358099877834,None,25.391358099877834,None,25.70562450005673,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,3,i,media/ddnb.png,1,TR,0,0,6,1,0,1,0.7200464350011597,1,0,0,25.908340299967676,25.908340299967676,25.908340299967676,None,25.908340299967676,None,26.770512599963695,None,i,1,1.5228667000774294,25.908340299967676,None,27.460902200080454,None,27.460902200080454,None,27.460902200080454,None,27.770531199872494,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,0,h,media/djnb.png,1,TR,0,0,7,1,0,1,0.5190083732663,1,0,0,27.970579399960116,27.970579399960116,27.970579399960116,None,27.970579399960116,None,29.037197599885985,None,h,1,1.515940299956128,27.970579399960116,None,29.51106909988448,None,29.51106909988448,None,29.51106909988448,None,29.82150229997933,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,1,l,media/dnnb.png,1,TR,0,0,8,1,0,1,0.818170943137857,1,0,0,30.025821899995208,30.025821899995208,30.025821899995208,None,30.025821899995208,None,30.804966500028968,None,u,0,1.5087257998529822,30.025821899995208,None,31.55762209999375,None,31.55762209999375,None,31.55762209999375,None,31.87031379994005,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,3,i,media/ddnb.png,1,TR,0,0,9,1,0,1,0.8966228248106758,1,0,0,32.07271229987964,32.07271229987964,32.07271229987964,None,32.07271229987964,None,32.77060419996269,None,i,1,1.5337418999988586,32.07271229987964,None,33.656162899918854,None,33.656162899918854,None,33.656162899918854,None,33.971619700081646,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,34.19108979986049,None,h,5.447802799986675,34.19108979986049,None,0,h,media/djnb.png,1,TR,0,0,0,1,0,2,0.4219944155113038,1,0,0,39.6657811999321,39.6657811999321,39.6657811999321,None,39.6657811999321,None,40.83715269993991,None,h,1,1.7179582000244409,39.6657811999321,None,41.42613839986734,None,41.42613839986734,None,41.42613839986734,None,41.73873419989832,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
