1,u,"[1, -1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,media/hand.png,media/cross.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
2,i,"[1, -1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,media/hand.png,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
3,l,"[1, -1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,0.1,0.04,media/hand.png,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
0,h,"[-1, 1, -1]",media/djnb.png,media/djnb_r.png,media/djnb_g.png,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
1,u,"[-1, 1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,None,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
2,i,"[-1, 1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,None,None,None,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
3,l,"[-1, 1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,None,None,None,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,1,Symb,h,media/dnnb.png,2,TR,0,0,5,1,0,1,1.273167046933827,1,0,0,20.13166860002093,20.13166860002093,20.13166860002093,None,20.13166860002093,None,20.441579299978912,None,h,1,1.583002199884504,20.13166860002093,None,21.752366699976847,None,21.752366699976847,None,21.752366699976847,None,22.05876570008695,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,3,Symb,l,media/ddnb.png,1,TR,0,0,6,1,0,1,0.9915017193974667,1,0,0,22.258312500081956,22.258312500081956,22.258312500081956,None,22.258312500081956,None,22.859719400061294,None,l,1,1.6244332999922335,22.258312500081956,None,23.91566150006838,None,23.91566150006838,None,23.91566150006838,None,24.225233900127932,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,1,Symb,i,media/dnnb.png,1,TR,0,0,7,1,0,1,0.6692883794833933,1,0,0,24.42518480005674,24.42518480005674,24.42518480005674,None,24.42518480005674,None,25.343568100128323,None,h,0,1.6496280001010746,24.42518480005674,None,26.107203399995342,None,26.107203399995342,None,26.107203399995342,None,26.408613099949434,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,1,Symb,h,media/dnnb.png,2,TR,0,0,8,1,0,1,0.28933320606495494,1,0,0,26.615135699976236,26.615135699976236,26.615135699976236,None,26.615135699976236,None,27.90969519992359,None,u,0,1.539661900140345,26.615135699976236,None,28.18745830003172,None,28.18745830003172,None,28.18745830003172,None,28.491760400123894,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,2,Symb,u,media/dinb.png,1,TR,0,0,9,1,0,1,0.43441345667942044,1,0,0,28.691939200041816,28.691939200041816,28.691939200041816,None,28.691939200041816,None,29.842487100046128,None,i,0,1.6550485999323428,28.691939200041816,None,30.390243500005454,None,30.390243500005454,None,30.390243500005454,None,30.6916879999917,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,30.893130599986762,None,h,1.077682200120762,30.893130599986762,None,1,Symb,h,media/dnnb.png,2,TR,0,0,0,1,0,2,0.9582934804115693,1,0,0,31.99353460012935,31.99353460012935,31.99353460012935,None,31.99353460012935,None,32.627396299969405,None,h,1,1.6092742001637816,31.99353460012935,None,33.649847000138834,None,33.649847000138834,None,33.649847000138834,None,33.95833529997617,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,2,Symb,l,media/dinb.png,2,TR,0,0,1,1,0,2,0.6002438875817193,1,0,0,34.15837420010939,34.15837420010939,34.15837420010939,None,34.15837420010939,None,35.142248100135475,None,l,1,1.5725802001543343,34.15837420010939,None,35.767457799986005,None,35.767457799986005,None,35.767457799986005,None,36.07715309993364,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,1,Symb,i,media/dnnb.png,1,TR,0,0,2,1,0,2,0.8063982059337829,1,0,0,36.29194570006803,36.29194570006803,36.29194570006803,None,36.29194570006803,None,37.07713089999743,None,i,1,1.758893300080672,36.29194570006803,None,38.08733820007183,None,38.08733820007183,None,38.08733820007183,None,38.39200540003367,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,3,Symb,l,media/ddnb.png,1,TR,0,0,3,1,0,2,0.6863674349233446,1,0,0,38.59293800010346,38.59293800010346,38.59293800010346,None,38.59293800010346,None,39.4920121000614,None,l,1,1.6832501001190394,38.59293800010346,None,40.31812680000439,None,40.31812680000439,None,40.31812680000439,None,40.6253529000096,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,0,Symb,u,media/djnb.png,2,TR,0,0,4,1,0,2,1.1106381832404137,1,0,0,40.83307950012386,40.83307950012386,40.83307950012386,None,40.83307950012386,None,41.30856400006451,None,u,1,1.5458268001675606,40.83307950012386,None,42.42978930007666,None,42.42978930007666,None,42.42978930007666,None,42.74207939999178,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,0,Symb,h,media/djnb.png,1,TR,0,0,5,1,0,2,1.0721492798193428,1,0,0,42.946507500018924,42.946507500018924,42.946507500018924,None,42.946507500018924,None,43.458666699938476,None,h,1,1.6569703998975456,42.946507500018924,None,44.64047300000675,None,44.64047300000675,None,44.64047300000675,None,44.94201879994944,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,1,Symb,i,media/dnnb.png,1,TR,0,0,6,1,0,2,0.5027990471151629,1,0,0,45.147073900094256,45.147073900094256,45.147073900094256,None,45.147073900094256,None,46.24194350000471,None,i,1,1.5120119000785053,45.147073900094256,None,46.683143800124526,None,46.683143800124526,None,46.683143800124526,None,46.99443079996854,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,3,Symb,i,media/ddnb.png,2,TR,0,0,7,1,0,2,0.1869201932365756,1,0,0,47.20874079992063,47.20874079992063,47.20874079992063,None,47.20874079992063,None,48.60891290009022,None,u,0,1.5553020001389086,47.20874079992063,None,48.830998100107536,None,48.830998100107536,None,48.830998100107536,None,49.142080900026485,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,1,Symb,h,media/dnnb.png,2,TR,0,0,8,1,0,2,0.5145900440676456,1,0,0,49.346764400135726,49.346764400135726,49.346764400135726,None,49.346764400135726,None,50.42554460000247,None,l,0,1.5759058000985533,49.346764400135726,None,50.95388450007886,None,50.95388450007886,None,50.95388450007886,None,51.260242300108075,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
